FH_hard: 192 runs, 94 success, 0 errors, 454s
FA_depth_wiring: 256 runs, 249 success, 0 errors, 305s
FB_pool: 128 runs, 102 success, 16 errors, 44s
FC_window: 160 runs, 16 success, 101 errors, 78s
FD_supervision: 96 runs, 89 success, 0 errors, 87s
FG_restarts: 288 runs, 29 success, 0 errors, 183s
FS_slack: 64 runs, 18 success, 0 errors, 63s
FT_anneal: 192 runs, 50 success, 0 errors, 82s
FE_budget: 144 runs, 38 success, 0 errors, 317s
