  rel:drop_operator:ans:or: 204 edits, 5 repairs, 9 undecided [604s]
  rel:drop_source:ans:o1: 204 edits, 13 repairs, 8 undecided [1126s]
  rel:keep_prefix:ans:2: 190 edits, 6 repairs, 0 undecided [1675s]
  rel:keep_prefix:ans:4: 190 edits, 5 repairs, 1 undecided [2232s]
  rel:keep_prefix:chain2:1: 207 edits, 7 repairs, 1 undecided [2449s]
  rel:keep_prefix:chain3:1: 204 edits, 8 repairs, 1 undecided [2699s]
  rel:drop_source:o1:m1: 214 edits, 19 repairs, 1 undecided [3147s]
  rel:keep_prefix:o1:1: 201 edits, 8 repairs, 0 undecided [3485s]
  rel:keep_prefix:o1:3: 200 edits, 8 repairs, 0 undecided [3859s]
